,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
16,16,0.009956794699033102,0.051904791259765624,0.9963166666666666,0.9873999953269958,1.0,1.0,1.0,1.0,0.9751185178756714,3.898742437362671,80.0235664844513,0.001,1024
17,17,0.00905785779953003,0.06421574096679687,0.99695,0.9855999946594238,1.0,1.0,1.0,1.0,0.9734560251235962,3.794586181640625,83.8331618309021,0.001,1024
18,18,0.008083510180314382,0.0563801513671875,0.99725,0.9869999885559082,1.0,1.0,1.0,1.0,0.9714912176132202,3.817700147628784,87.66586804389954,0.001,1024
19,19,0.007492059751351674,0.051968756103515625,0.9973,0.9878999590873718,1.0,1.0,1.0,1.0,0.9687782526016235,3.8574178218841553,91.5386598110199,0.001,1024
20,20,0.006601273024082184,0.05256294555664062,0.9978,0.9881999492645264,1.0,1.0,1.0,1.0,0.9663423299789429,3.879638433456421,95.43384075164795,0.001,1024
21,21,0.005671188775698344,0.05481793823242188,0.9981,0.9872999787330627,1.0,1.0,1.0,1.0,0.9636731743812561,3.852407455444336,99.30205917358398,0.001,1024
22,22,0.00793525796731313,0.057550958251953124,0.9974,0.9865999817848206,1.0,1.0,1.0,1.0,0.9606654047966003,3.888591766357422,103.20652174949646,0.001,1024
23,23,0.00867024732430776,0.06275604858398437,0.9967333333333334,0.986299991607666,1.0,1.0,1.0,1.0,0.957244336605072,3.9429216384887695,107.1654634475708,0.001,1024
24,24,0.010774133046468098,0.059745489501953124,0.9959166666666667,0.9873999953269958,1.0,1.0,1.0,1.0,0.9532382488250732,3.9116573333740234,111.09331274032593,0.001,1024
25,25,0.009161663885911307,0.05380153198242187,0.9969333333333333,0.9892999529838562,1.0,1.0,1.0,1.0,0.9489635229110718,3.909266948699951,115.01890563964844,0.001,1024
26,26,0.007537828876574834,0.05038803405761719,0.9975,0.988599956035614,1.0,1.0,1.0,1.0,0.9445292949676514,3.868312358856201,118.90372252464294,0.001,1024
27,27,0.008091371017694473,0.05168837890625,0.9972666666666666,0.9891999959945679,1.0,1.0,1.0,1.0,0.9401071071624756,3.9080512523651123,122.82840347290039,0.001,1024
28,28,0.009004056068261464,0.05324182739257813,0.9970166666666667,0.988099992275238,1.0,1.0,1.0,1.0,0.9342482686042786,3.8717048168182373,126.71697497367859,0.001,1024
29,29,0.011659396036465963,0.06010908813476563,0.9961,0.9878000020980835,1.0,1.0,1.0,1.0,0.9283828735351562,3.965555429458618,130.69962692260742,0.001,1024
30,30,0.01425052900314331,0.05679332275390625,0.9949666666666667,0.9873999953269958,1.0,1.0,1.0,1.0,0.9220155477523804,3.9460184574127197,134.6629912853241,0.001,1024
31,31,0.012588283177216848,0.06260933837890625,0.9958833333333333,0.9863999485969543,1.0,1.0,1.0,1.0,0.9153469204902649,3.9189951419830322,138.59953618049622,0.001,1024
32,32,0.016352809913953145,0.05545186157226562,0.9941,0.9879999756813049,1.0,1.0,1.0,1.0,0.9072387218475342,4.034537315368652,142.65173244476318,0.001,1024
33,33,0.019122146395842234,0.06545447998046874,0.9936,0.9842999577522278,1.0,1.0,1.0,1.0,0.8990344405174255,3.960780143737793,146.630286693573,0.001,1024
34,34,0.020465747451782226,0.05724573974609375,0.99265,0.9881999492645264,1.0,1.0,1.0,1.0,0.8902442455291748,3.982360363006592,150.6307771205902,0.001,1024
35,35,0.01832028221289317,0.05015579528808594,0.9935,0.9886999726295471,1.0,1.0,1.0,1.0,0.881271243095398,3.991508722305298,154.6404824256897,0.001,1024
